text,created_at,polarity,sentiment
RT @HondaRacingF1: ABSOLUTE SCENES 👏 https://t.co/CVurq9nyHW,2019-11-20 14:18:42,0.2,negative
"RT @1990sF1: Jean Alesi’s first test with the Benetton-Renault B195, as the Frenchman explored the limits of the championship winning car.…",2019-11-20 14:18:55,0.375,negative
I will never not love this every time I re-watch it 😂,2019-11-20 14:19:00,-0.25,negative
RT @HondaRacingF1: ABSOLUTE SCENES 👏 https://t.co/CVurq9nyHW,2019-11-20 14:19:03,0.2,negative
RT @HondaRacingF1: ABSOLUTE SCENES 👏 https://t.co/CVurq9nyHW,2019-11-20 14:20:26,0.2,negative
RT @redbullracing: All hands on deck 🛠 One final push in the 2019 season 💪 #F1 https://t.co/TQg86gDYXj,2019-11-20 14:20:50,0.0,negative
How serious is Ferrari's driver fallout? https://t.co/xXzBvaAU4n #F1 #Ferrari,2019-11-20 14:21:07,-0.3333333333333333,negative
"RT @LeclercNews: . @Charles_Leclerc about how he spends the long flights to a Grand Prix weekend 😊

🎥 : MissionWinnow (IG) 

#F1 #Charles16…",2019-11-20 14:21:23,0.225,negative
"RT @1990sF1: Jean Alesi’s first test with the Benetton-Renault B195, as the Frenchman explored the limits of the championship winning car.…",2019-11-20 14:21:31,0.375,negative
Live #F1 News - How serious is Ferrari's driver fallout? https://t.co/XDdaSDVfir,2019-11-20 14:22:09,-0.09848484848484848,negative
📺 Mercedes: 2019 Brazilian Grand Prix #F1 Debrief #BrazilGP https://t.co/O5WiDY9icE,2019-11-20 14:22:41,0.5,neutral
RT @LiveF1News: Live #F1 News - How serious is Ferrari's driver fallout? https://t.co/XDdaSDVfir,2019-11-20 14:22:51,-0.09848484848484848,negative
Lewis Hamilton ready for 'friendly yet intense' Mercedes contract talks #F1  https://t.co/PtpMmuaVN2,2019-11-20 14:23:18,0.2583333333333333,negative
