text,created_at,polarity,sentiment
RT @jHonSewell: Drogon destroyed the Iron throne because the new king already has his own chair #GameOfThrones https://t.co/MwWQn9dvHi,2019-05-20 12:47:03,0.36818181818181817,negative
RT @heyannalaura: Cersei and Jaime  could have survived if they’d just moved a little to the right. #DemThrones #gameofthrones https://t.co…,2019-05-20 12:47:03,0.04910714285714285,negative
RT @NomanRasheed170: Whatever your thoughts on the final season one thing is for certain. This man did one hell of a performance and we cou…,2019-05-20 12:47:03,0.10714285714285714,negative
"RT @zeynep: I wrote about why the downturn of storytelling in #GameofThrones also explains why it's hard for us to deal with Facebook, YouT…",2019-05-20 12:47:03,-0.2916666666666667,negative
"You seriously know nothing Jon Snow 😂
#GameofThrones",2019-05-20 12:47:03,-0.3333333333333333,negative
"@Maisie_Williams @Maisie_Williams  I love you ,thank you @GameOfThrones",2019-05-20 12:47:03,0.5,neutral
RT @cheIlLibico: Probably the best take on this shit ending  #GameOfThrones https://t.co/gZoodOmFFp,2019-05-20 12:47:04,0.4,negative
RT @BaronBuffay: I SEE A FUCKING PATTERN #GameOfThonesFinale #GameOfThrones jon is toxic https://t.co/MscxoFx4I9,2019-05-20 12:47:04,-0.6,negative
"RT @GodspowerTalks: Since #GameOfThrones is ending, here is the single greatest scene from the series

#GameOfThronesFinale https://t.co/R2…",2019-05-20 12:47:04,0.4642857142857143,negative
"RT @GC_Cubed: Us: So what was the point of Jon being a Targaryan and true heir?

D&amp;D:

#GameOfThrones
https://t.co/2AhQzepitf",2019-05-20 12:47:04,0.35,negative
RT @Lesdoggg: HOLY FUCK!!! I DID NOT SEE THAT COMING YO!!  @GameOfThrones @HBO #HERECOMEDEMSPOILERSBITCHES https://t.co/QnZsHhWYsF,2019-05-20 12:47:04,-1.0,negative
I get some of the backlash on this season now. I feel bad for the people that watched this show for so long. Hands… https://t.co/G6JQjwaC5W,2019-05-20 12:47:04,-0.37499999999999994,negative
RT @mirandastyles55: #GameOfThrones is a GREAT example of the difference between novelists and show runners 🌝☕️,2019-05-20 12:47:04,0.8,positive
RT @SardiKaTheEnd: I don’t think makers have been successful in making anyone hate Dany. Infact it’s been the opposite. Ppl like her more t…,2019-05-20 12:47:04,0.11249999999999999,negative
RT @aishahahalmao: Game of Thrones started with the Starks being betrayed and used. But in the end they won and how beautifully did they wi…,2019-05-20 12:47:04,0.22499999999999998,negative
RT @chris_rooneey: @Maisie_Williams @Maisie_Williams from the moment I first saw you in @GameOfThrones to the moment you shed your final te…,2019-05-20 12:47:05,0.125,negative
RT @StevenWithAV13: You’re telling me in the two fucking years y’all took to make this fucking season no one caught the coffee cup OR THE F…,2019-05-20 12:47:05,-0.6,negative
"RT @GodspowerTalks: Since #GameOfThrones is ending, here is the single greatest scene from the series

#GameOfThronesFinale https://t.co/R2…",2019-05-20 12:47:05,0.4642857142857143,negative
"Breaking Bad is better than GameofThrones ? Cool, whatever. The Wire is better than BOTH OF THEM. There's really on… https://t.co/2wKX8viIXc",2019-05-20 12:47:05,0.17,negative
RT @meakoopa: Sansa’s hair completely down (vs complicated looks of her youth &amp; severe pinbacks of Winterfell stewardship) took my breath a…,2019-05-20 12:47:05,-0.3277777777777778,negative
RT @BlondedJacob: Whatever your thoughts on the final season one thing is for certain. This man did one hell of a performance and we couldn…,2019-05-20 12:47:03,0.10714285714285714,negative
RT @aishahahalmao: Game of Thrones started with the Starks being betrayed and used. But in the end they won and how beautifully did they wi…,2019-05-20 12:47:05,0.22499999999999998,negative
"RT @GodSon83: A bloodthirsty, mindless dragon, that was charbroiling people's children not long ago, suddenly turns into a ivy league socio…",2019-05-20 12:47:05,-0.16874999999999998,negative
"@DominikDiamond @GameOfThrones Last year I watched all Saw films back-to-back. It made far more sense, was an absol… https://t.co/z0p2lWKykL",2019-05-20 12:47:05,0.19999999999999998,negative
"Right?
All that breast milk",2019-05-20 12:47:03,0.2857142857142857,negative
"RT @jaimelsnnister: I am so incredibly proud of these three women. ⚔️🐺🌍

#GameofThrones #TheFinalEpisode https://t.co/x32VC8Meck",2019-05-20 12:47:05,0.8,positive
"RT @GodspowerTalks: Since #GameOfThrones is ending, here is the single greatest scene from the series

#GameOfThronesFinale https://t.co/R2…",2019-05-20 12:47:05,0.4642857142857143,negative
@GameOfThrones It was a terrible finale. It was a pity for all our years. Jon didn't deserve this end! https://t.co/WrV8wKdNKN,2019-05-20 12:47:05,-0.5625,negative
yeah right,2019-05-20 12:47:06,0.2857142857142857,negative
The latest The Knowledge Broker Post! https://t.co/B94J0HnRG7 Thanks to @garymusicmiller @SilvijaKrebs @bjepson #gameofthrones #paid,2019-05-20 12:47:06,0.4125,negative
"RT @muthana_98: At the end, it will always be the animals that will be loyal to us.
#GameOfThrones #GameOfThrones https://t.co/liC5t9kw6U",2019-05-20 12:47:05,0.3333333333333333,negative
"RT @elmaghraby550: Oscar Of The Worst ending ever and The Worst Season ever ..

#TheFinalEpisode 
..
#GameOfThrones 
..
#GameOfThonesFinale…",2019-05-20 12:47:06,-1.0,negative
"RT @PedroPascal1: Shut up, it was perfect. #GameofThrones",2019-05-20 12:47:06,1.0,positive
"RT @GameofKweens: Bran Stark watching everybody die &amp; argue for years knowing it was paving his way to the throne. 

#GameOfThrones #GoT #D…",2019-05-20 12:47:06,-0.2,negative
my face is swollen from crying thank you @GameOfThrones,2019-05-20 12:47:06,-0.2,negative
"RT @WorcesterBosch: As Game of Thrones comes to an end, there’s only one person who can sit on The Copper Throne. At least Kit Harrington h…",2019-05-20 12:47:06,-0.2333333333333333,negative
Unpopular opinion. I’m not mad with the ending of #GameOfThrones I’m just content. Thank you for 10 great years of… https://t.co/lNQihxI6KQ,2019-05-20 12:47:06,0.55625,positive
"RT @itssohaibme: ABSOLUTELY NO ONE:

SANSA: BRAN’S DICK DOESNT WORK 

#GameOfThrones #BranStark https://t.co/5eQoZ8WQZQ",2019-05-20 12:47:06,-0.1,negative
RT @MMAGreg1: The Game of Thrones graphic designer who was given 1 week to CGI Jon Snow petting his dog to make Twitter happy. #GameofThron…,2019-05-20 12:47:07,0.13333333333333333,negative
RT @ginn_emily: Why is nobody talking about this glow up wtf #GameOfThrones https://t.co/ex6W0MgPdL,2019-05-20 12:47:07,-0.5,negative
RT @HireMeImFunny: Behind every king is a woman who dragged him around on a sled for three years never to be heard from again #GameofThrone…,2019-05-20 12:47:07,-0.4,negative
"RT @hate_chemistry: Don't be upset. It's just a TV show. Ending wasn't that bad.

GoT fans:
#GameOfThrones
 https://t.co/fuwgKCYEzf",2019-05-20 12:47:07,-0.6999999999999998,negative
"RT @Hemswobrien: Jaime knighting Brienne
Brienne filling the pages of Jaime

They made each other’s dreams come true #GameOfThrones https:/…",2019-05-20 12:47:05,0.11249999999999999,negative
"RT @Quotemeorelse: Me: So who's green eyes did Arya finally Shut? 

The #GameOfThrones writers: https://t.co/7wCPjoIQco",2019-05-20 12:47:07,-0.1,negative
RT @danyskylo: this shot is insanely powerful #gameofthrones https://t.co/XBSDinuozB,2019-05-20 12:47:06,0.3,negative
"RT @GC_Cubed: Us: So what was the point of Jon being a Targaryan and true heir?

D&amp;D:

#GameOfThrones
https://t.co/2AhQzepitf",2019-05-20 12:47:08,0.35,negative
RT @danyskylo: this shot is insanely powerful #gameofthrones https://t.co/XBSDinuozB,2019-05-20 12:47:08,0.3,negative
"RT @GC_Cubed: Us: So what was the point of Jon being a Targaryan and true heir?

D&amp;D:

#GameOfThrones
https://t.co/2AhQzepitf",2019-05-20 12:47:08,0.35,negative
"RT @PedroPascal1: Shut up, it was perfect. #GameofThrones",2019-05-20 12:47:08,1.0,positive
"RT @GC_Cubed: Us: So what was the point of Jon being a Targaryan and true heir?

D&amp;D:

#GameOfThrones
https://t.co/2AhQzepitf",2019-05-20 12:47:08,0.35,negative
Outstanding troll.,2019-05-20 12:47:08,0.5,neutral
