text,polarity
"RT @i_theindian: Two main objectives of the highly exaggerated #ExitPolls are:

📌The BSE SENSEX will shoot through the roof and the rich wi…",0.013888888888888876
"RT @AjayKushwaha_: So today's exit polls are clearly showing BJP is getting a full majority &amp; is Winning with a huge margin. 

On 23rd PM @…",0.3375
"RT @MyFellowIndians: Paid #ExitPolls have been aired.
CEC in Pocket.
Verification of VVPATs cancelled. 
Now replace the #EVMs with the 190,…",0.1
"RT @iKamranShahid: Remember:-

■ #ExitPolls of US showed Hillary Clinton winning BUT Donald Trump won.

■ #ExitPoll of Australia showed Lab…",0.5
"RT @RangDeTiranga: Remember:-

■ #ExitPolls of US showed Hillary Clinton winning BUT Donald Trump won.

■ #ExitPoll of Australia showed Lab…",0.5
@NirikshanBilla @BJP4India But there might be more of those in Parliament if #ExitPoll2019 #ExitPolls are right so… https://t.co/XTTQ7Bg3Nx,0.39285714285714285
"RT @SirJadeja: 19th May: Exit Polls are fake
23rd May: EVMs are hacked
24th May:Fascist Mudi must rejine 😭

#ExitPoll2019 #ExitPolls",-0.5
Dhruv right now!! https://t.co/YT2DxTeipR,0.4464285714285714
"RT @mdbaid: I would request all @INCIndia supporters be calm and cool as our leader Shri @RahulGandhi is.

We have done our job sincerely a…",0.3833333333333333
RT @newslaundry: Our TV news channels are about to go insane with #ExitPoll2019. We are watching all the action so that you don't have to.…,-0.45
"RT @PreetiSMenon: Just say Modi is getting 545 seats and be done with it! Or maybe sing a Modi Chalisa to add a nice dutiful touch. 
#ExitP…",0.6
"RT @SirJadeja: The most trusted and accurate Today's Chanakya's #ExitPoll2019 predicts approx 300 seats for BJP, 350 for NDA, 55 for Congre…",0.45000000000000007
"RT @mayurkhadse: India Needs One More Person Like Godse To Stop This Criminal Ruling Party ..

#ExitPoll2019 #ExitPolls #Godse",0.04999999999999999
RT @prasannavishy: Profound insight from BPL version of Kemalgassan 😀😀😀 https://t.co/0kc4zxT17F,0.08333333333333333
"@BoxingEGO Even using this clips to make memes on Indian election. People are loving it
https://t.co/dab88GOVUo",0.6
"Axis:

 BJP in Telangana vote share 21%

 Of 1-3 seats  projected in Telangana

Adilabad - Tough fight between Cong… https://t.co/PW63Y8IbXm",-0.3888888888888889
"Thanks @RahulGandhi to be a #StarCampaigner for @BJP4India .. You did it, very nice 👌 #ExitPolls https://t.co/qlnjBFjNu7",0.49
"RT @JhaSanjay: #NDA winning 40 out of 40 in Bihar? Seriously? Now it is becoming far too farcical. 

#ExitPolls",0.06333333333333332
